project_id;GFA;NSA;Floors;Units;Average_unit_area;Start_of_sales;End_of_sales;Handover;percent_of_sold;
200139;;;;;;;;;;Al Majdiah 138
200140;;;;;;;;;;Al Majdiah 139
200141;;;;;;;;;;Al Majdiah 140
200142;;;;;;;;;;Al Majdiah 142
200143;;;;;;;;;;Al Majdiah 143
200144;;;;;;;;;;Al Majdiah 144
200145;;;;;;;;;;Al Majdiah 145
200146;;;;;;;;;;Al Majdiah 146
200147;;;;;;;;;;Al Majdiah 147
200148;;;;;;;;;;Al Majdiah 150
200149;;;;;;;;;;Al Majdiah 155
200150;;;;;;;;;;Al Majdiah 156
200151;;;;;;;;;;Al Majdiah 160
200152;;;;;;;;;;Al Majdiah 163
200153;;;;;;;;;;Al Majdiah Village
200154;;;;;;;;;;Derwaza
200155;;;;;;;;;;Majaz
200156;;;;;;;;;;Al Majdiah Residence
200157;;;;;;;;;;Sarh
200158;;;;;;;;;;Sadu
200159;;;;;;;;;;Rawaq Business
200160;;;;;;;;;;Adeem Alfursan
200161;;;;;;;;;;Jazeel
200162;;;;;;;;;;Qarar
1100007;;;;;;;;;;Safa 1
1100008;;;;;;;;;;Safa 2
1100009;;;;;;;;;;Safa 5
1100010;;;;;;;;;;Safa 7
1100011;;;;;;;;;;Safa 8
1100012;;;;;;;;;;Safa 9
1100013;;;;;;;;;;Safa 11
1100014;;;;;;;;;;Safa 12
1100015;;;;;;;;;;Safa 15
1100016;;;;;;;;;;Safa 19
1100017;;;;;;;;;;Safa 20
1100018;;;;;;;;;;Safa 21
1100019;;;;;;;;;;Safa 28
1100020;;;;;;;;;;Safa 40
1100021;;;;;;;;;;Safa 46
1100022;;;;;;;;;;Safa 47
1100023;;;;;;;;;;Safa 50
1100024;;;;;;;;;;Safa 51
1100025;;;;;;;;;;Safa 52
1100026;;;;;;;;;;Safa 53
1100027;;;;;;;;;;Safa 55
1100028;;;;;;;;;;Safa 59
1100029;;;;;;;;;;Safa 60
1100030;;;;;;;;;;Safa 63
1100031;;;;;;;;;;Safa 65
1100032;;;;;;;;;;Safa 69
1100033;;;;;;;;;;Safa 70
1100034;;;;;;;;;;Safa 71
1100035;;;;;;;;;;Safa 72
1100036;;;;;;;;;;Safa 73
1100037;;;;;;;;;;Safa 74
1100038;;;;;;;;;;Safa 76
1100039;;;;;;;;;;Safa 77
1100040;;;;;;;;;;Safa 81
1100041;;;;;;;;;;Safa 83
1100042;;;;;;;;;;Safa 84
1500004;;;;435;;;;;;North View
1500005;;;;1200;;;;;;Zood Al Narjis
1500006;;;;;;;;;;Elite
300003;;;;;;;;;;Greeenfields
300004;;;;;;;;;;Turquoise Villas 3
300005;;;;;;;;;;Rosa Villa 2
300006;;;;;;;;;;Aurora villas
300007;;;;;;;;;;Ara Residences
300008;;;;;;;;;;Vega Residence
300009;;;;;;;;;;Offices zone
300010;;;;;;;;;;Durar al Layali
300011;;;;;;;;;;Array Suites
300012;;;;;;;;;;Evia Villas
300013;;;;;;;;;;Indigo Villas
300014;;;;;;;;;;Jasmin Villas
300015;;;;;;;;;;Campus
300016;;;;;;;;;;First Projects Homes
1400001;;;;;;;;;;Al Ajlan Riviera 1
1400002;;;;;;;;;;Al Ajlan Riviera 2
1400003;;;;;;;;;;Al Ajlan Riviera 3
1400004;;;;;;;;;;Al Ajlan Riviera 4
1400005;;;;;;;;;;Al Ajlan Riviera 5
1400006;;;;;;;;;;Al Ajlan Riviera 7
1400007;;;;;;;;;;Al Ajlan Riviera 9
1400008;;;;;;;;;;Al Ajlan Riviera 10
1400009;;;;;;;;;;Al Ajlan Riviera 11
1400010;;;;;;;;;;Al Ajlan Riviera 12
1400011;;;;;;;;;;Al Ajlan Riviera 15
1400012;;;;;;;;;;Al Ajlan Riviera 16
1400013;;;;;;;;;;Al Ajlan Riviera 17
1400014;;;;;;;;;;Al Ajlan Riviera 18
1400015;;;;;;;;;;Al Ajlan Riviera 19
1400016;;;;;;;;;;Al Ajlan Riviera 20
1400017;;;;;;;;;;Al Ajlan Riviera 22
1400018;;;;;;;;;;Al Ajlan Riviera 24
1400019;;;;;;;;;;Al Ajlan Riviera 25
1400020;;;;;;;;;;Al Ajlan Riviera 26
1400021;;;;;;;;;;Al Ajlan Riviera 29
1400022;;;;;;;;;;Al Ajlan Riviera 31
1400023;;;;;;;;;;Al Ajlan Riviera 32
1400024;;;;;;;;;;Al Ajlan Riviera 33
1400025;;;;;;;;;;Al Ajlan Riviera 34
1400026;;;;;;;;;;Al Ajlan Riviera 35
1400027;;;;;;;;;;Al Ajlan Riviera 36
1400028;;;;;;;;;;Al Ajlan Riviera 37
1400029;;;;;;;;;;Al Ajlan Riviera 38
1400030;;;;;;;;;;Al Ajlan Riviera 39
1400031;;;;;;;;;;Al Ajlan Riviera 40
1400032;;;;;;;;;;Al Ajlan Riviera 41
1400033;;;;;;;;;;Al Ajlan Riviera 42
1400034;;;;;;;;;;Al Ajlan Riviera 43
1400035;;;;;;;;;;Al Ajlan Riviera 44
1400036;;;;;;;;;;Al Ajlan Riviera 45
1400037;;;;;;;;;;Al Ajlan Riviera 46
1400038;;;;;;;;;;Al Ajlan Riviera 47
1400039;;;;;;;;;;Al Ajlan Riviera 48
1400040;;;;;;;;;;Al Ajlan Riviera 49
1400041;;;;;;;;;;Al Ajlan Riviera 50
1400042;;;;;;;;;;Al Ajlan Riviera 51
1400043;;;;;;;;;;Al Ajlan Riviera 52
1400044;;;;;;;;;;Al Ajlan Riviera 54
1400045;;;;;;;;;;Al Ajlan Riviera 57
4800009;;;;;;;;;;Wakan 1
4800010;;;;;;;;;;Wakan 2
4800011;;;;;;;;;;Wakan 4
4800012;;;;;;;;;;Wakan 5
4800013;;;;;;;;;;Wakan 7
4800014;;;;;;;;;;Wakan 8
4800015;;;;;;;;;;Wakan 9
4800016;;;;;;;;;;Wakan 10
4800017;;;;;;;;;;Wakan 12
4800018;;;;;;;;;;Wakan 14
4800019;;;;;;;;;;Wakan 16
4800020;;;;;;;;;;Wakan 17
4800021;;;;;;;;;;Wakan 18
4800022;;;;;;;;;;Wakan 19
4800023;;;;;;;;;;Wakan 20
4800024;;;;;;;;;;Wakan 21
4800025;;;;;;;;;;Wakan 22
4800026;;;;;;;;;;Wakan 23
4800027;;;;;;;;;;Wakan 22
4800028;;;;;;;;;;Wakan 24
4800029;;;;;;;;;;Wakan 25
4800030;;;;;;;;;;Wakan 26
4800031;;;;;;;;;;Wakan 28
4800032;;;;;;;;;;Wakan 29
4800033;;;;;;;;;;Wakan 30
4800034;;;;;;;;;;Wakan 33
4800035;;;;;;;;;;Wakan 34
4800036;;;;;;;;;;Wakan 34
4800037;;;;;;;;;;Wakan 35
4800038;;;;;;;;;;Wakan 36
4800039;;;;;;;;;;Wakan 37
400008;;;;;;;;;;Osus Housing Mersia
400009;;;;;;;;;;Osus Houseing Sada
400010;;;;;;;;;;Osus Housing Al-Monsia
400011;;;;;;;;;;Osus Al Murjan 1
400012;;;;;;;;;;Osus Al Murjan 2
400013;;;;;;;;;;Osus Domain
400014;;;;;;;;;;Anas Bin Malek Mall
400015;;;;;;;;;;OD Tower
400016;;;;;;;;;;OD Plaza I
400017;;;;;;;;;;OD Plaza II
400018;;;;;;;;;;OD Office I
400019;;;;;;;;;;OD Office II
1900001;;;;;;;;;;Al Nayfah
1900002;;;;;;;;;;Marvela
1900003;;;;;;;;;;Pavilions
1900004;;;;;;;;;;Rafal Village Tower
2700010;;;;;;;;;;Infinity (Mobtakeron)
2700011;;;;;;;;;;Park View (Mobtakeron)
2700012;;;;;;;;;;Riyadh Lux (Mobtakeron)
5800001;;;;;;;;;;Damac Towers
1900005;;;;;;;;;;Burj Rafal
1900006;;;;;;;;;;Rafal Residence
1900007;;;;;;;;;;Rafal Alegria
1900008;;;;;;;;;;Balancia Compound
1900009;;;;;;;;;;Al Rabia
3900002;;;;;;;;;;Naya Core Tower
800001;;;;;;;;;;Al Dhahia
800002;;;;;;;;;;Al Akaria Park
800003;;;;;;;;;;La Casa
800004;;;;;;;;;;Al Akaria Plaza
800005;;;;;;;;;;Al Akaria 2
800006;;;;;;;;;;Al Akaria 3
800007;;;;;;;;;;Olaya Oasis Compound
800008;;;;;;;;;;Fai Sedra
800009;;;;;;;;;;Sitteen
800010;;;;;;;;;;Reef
800011;;;;;;;;;;Tilal Mixed-Use Commercial Centre
5500001;;;;;;;;;;Majd Al Munsiyah Project
5500002;;;;;;;;;;Majd Qurtubah Project
5500003;;;;;;;;;;Majd 39 Project
5500004;;;;;;;;;;Majd 40 Project
5500005;;;;;;;;;;Majd 41 Compound
5500006;;;;;;;;;;Majd Al Narjis Project
5500007;;;;;;;;;;Smart Home Project
5500008;;;;;;;;;;Majd Tower
5500009;;;;;;;;;;Ishbiliyah Business Center
5500010;;;;;;;;;;Jawharat Al Rimal Plan
5500011;;;;;;;;;;Majd Glory 3
5500012;;;;;;;;;;Majd 4
5500013;;;;;;;;;;Majd Glory 5
5500014;;;;;;;;;;Majd Glory 6
9800004;;;;;;;;;;Jadah 31
9800005;;;;;;;;;;Jadah 32
9800006;;;;;;;;;;Jadah 33
9800007;;;;;;;;;;Jadah 34
9800008;;;;;;;;;;Jadah 35
9800009;;;;;;;;;;Jadah 36
9800010;;;;;;;;;;Jadah 37
9800011;;;;;;;;;;Jadah 38
9800012;;;;;;;;;;Jadah 39
9800013;;;;;;;;;;Jadah 40
9800014;;;;;;;;;;Jadah 41
9800015;;;;;;;;;;Jadah 42
9800016;;;;;;;;;;Jadah 43
1700001;;;;;;;;;;Aress Compound
1700002;;;;;;;;;;Al Soliman Business Compound
1700003;;;;;;;;;;Al Soliman Blue Dar Compound 129
