project_id;GFA;NSA;Floors;Units;Average_unit_area;Start_of_sales;End_of_sales;Handover;percent_of_sold;
13000004;;;;;;;;;;Mandevilla 9
13000005;;;;;;;;;;Rasf Araqah 11
13000006;;;;;;;;;;Infinity 14
13000007;;;;;;;;;;Infinity 16
13000008;;;;;;;;;;Antiquity 18
13000009;;;;;;;;;;Yard 19
13000010;;;;;;;;;;Mandevilla 20
13000011;;;;;;;;;;Yard 21
13000012;;;;;;;;;;Elite 23 Antiquity
13000013;;;;;;;;;;Elite 24 Antiquity
13000014;;;;;;;;;;Rasf Tower
4000002;;;;;;;;;;Safwat Alnarges
13100001;;;;;;;;;;Business Yard
13100002;;;;;;;;;;LEX
13100003;;;;;;;;;;SKYLINE
13100004;;;;;;;;;;Takamul
13100005;;;;;;;;;;Sigma
13100006;;;;;;;;;;Heyazah Gate
13100007;;;;;;;;;;WAHA Gate
13100008;;;;;;;;;;WAHA Waves
13100009;;;;;;;;;;Heyazah Compound
13100010;;;;;;;;;;Roofs Villas
13100011;;;;;;;;;;S Tower
13100012;;;;;;;;;;Prime Square
13200001;;;27;68;;;;;;Kings Gate
13200002;;;;370;;;;;;Raise
13200003;;;13;68;;;;;;Nawat Rise
13200004;;;26;130;;;;;;Nawat Tower
13200005;;;;;;;;;;Al Badi'ah Center
13200006;;;;;;;;;;Anas ibn Malik Center
13200007;;;;;;;;;;Allia 1
13200008;;;;;;;;;;Rasen Center
13200009;;;;;;;;;;Tuwaiq Center
13200010;;;;;;;;;;Business center
13200011;;;;;;;;;;Trip center
13200012;;;;;;;;;;Center of Excellence
13200013;;;;;;;;;;Palm Center
13200014;;;;;;;;;;Al Sabala Union
13200015;;;;;;;;;;Al Sabala Center
13200016;;;;;;;;;;North Residence
13200017;;;;;;;;;;North Apart
13200018;;;;;;;;;;Allia +
13200019;;;;;;;;;;Stone
13300001;;;;;;;;;;Four Seasons Hotel & Private Residences Jeddah
13300002;;;;;;;;;;Atlantis
13300003;;;;;;;;;;One&Only
6800002;;;;;;;;;;Shetal Tower
6800003;;;;;;;;;;Abyatona Rise
6800004;;;;;;;;;;Abyatona Rivora
9700002;;;;;;;;2029;;Ezdihar Hills
9700003;;;;;;;;;;Ezdihar Park
9700004;;;;;;;;;;Jeddah Cove
#ССЫЛКА!;;;;;;;;;;#ССЫЛКА!
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
0;;;;;;;;;;0
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
